Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
3,Browser Client Process Memory Tampered,Tampering,Diagram 1,HTTP,High,Not Started,,"If Browser Client is given access to memory, such as shared memory or pointers, or is given the ability to control what Web Application executes (for example, passing back a function pointer.), then Browser Client can tamper with Web Application. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
4,Cross Site Scripting,Tampering,Diagram 1,HTTP,High,Not Started,,The web server 'Web Application' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
5,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTP,High,Not Started,,Web Application may be able to impersonate the context of Browser Client in order to gain additional privilege.,,Generated
7,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Generic Data Flow,High,Not Started,,Browser Client may be able to impersonate the context of Voter in order to gain additional privilege.,,Generated
6,Spoofing the Voter External Entity,Spoofing,Diagram 1,Generic Data Flow,High,Not Started,,Voter may be spoofed by an attacker and this may lead to unauthorized access to Browser Client. Consider using a standard authentication mechanism to identify the external entity.,,Generated
12,Spoofing of Destination Data Store Cookies,Spoofing,Diagram 1,Generic Data Flow,High,Not Started,,Cookies may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Cookies. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
13,Potential Excessive Resource Consumption for Web Application or Cookies,Denial Of Service,Diagram 1,Generic Data Flow,High,Not Started,,"Does Web Application or Cookies take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
15,Spoofing of Destination Data Store SQL Database,Spoofing,Diagram 1,Generic Data Flow,High,Not Started,,SQL Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of SQL Database. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
14,Spoofing of Source Data Store Cookies,Spoofing,Diagram 1,Generic Data Flow,High,Not Started,,Cookies may be spoofed by an attacker and this may lead to incorrect data delivered to SQL Database. Consider using a standard authentication mechanism to identify the source data store.,,Generated
17,Cross Site Scripting,Tampering,Diagram 1,Generic Data Flow,High,Not Started,,The web server 'Web Application' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
16,Spoofing of Source Data Store SQL Database,Spoofing,Diagram 1,Generic Data Flow,High,Not Started,,SQL Database may be spoofed by an attacker and this may lead to incorrect data delivered to Web Application. Consider using a standard authentication mechanism to identify the source data store.,,Generated
18,Persistent Cross Site Scripting,Tampering,Diagram 1,Generic Data Flow,High,Not Started,,The web server 'Web Application' could be a subject to a persistent cross-site scripting attack because it does not sanitize data store 'SQL Database' inputs and output.,,Generated
19,Weak Access Control for a Resource,Information Disclosure,Diagram 1,Generic Data Flow,High,Not Started,,Improper data protection of SQL Database can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
20,Spoofing the Web Application Process,Spoofing,Diagram 1,Generic Data Flow,High,Not Started,,Web Application may be spoofed by an attacker and this may lead to unauthorized access to Blockchain. Consider using a standard authentication mechanism to identify the source process.,,Generated
21,Spoofing of Destination Data Store Blockchain,Spoofing,Diagram 1,Generic Data Flow,High,Not Started,,Blockchain may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Blockchain. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
22,The Blockchain Data Store Could Be Corrupted,Tampering,Diagram 1,Generic Data Flow,High,Not Started,,Data flowing across Generic Data Flow may be tampered with by an attacker. This may lead to corruption of Blockchain. Ensure the integrity of the data flow to the data store.,,Generated
23,Data Store Denies Blockchain Potentially Writing Data,Repudiation,Diagram 1,Generic Data Flow,High,Not Started,,"Blockchain claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
24,Data Flow Sniffing,Information Disclosure,Diagram 1,Generic Data Flow,High,Not Started,,"Data flowing across Generic Data Flow may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
25,Potential Excessive Resource Consumption for Web Application or Blockchain,Denial Of Service,Diagram 1,Generic Data Flow,High,Not Started,,"Does Web Application or Blockchain take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
26,Data Flow Generic Data Flow Is Potentially Interrupted,Denial Of Service,Diagram 1,Generic Data Flow,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
27,Data Store Inaccessible,Denial Of Service,Diagram 1,Generic Data Flow,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
28,Spoofing of Source Data Store Blockchain,Spoofing,Diagram 1,Generic Data Flow,High,Not Started,,Blockchain may be spoofed by an attacker and this may lead to incorrect data delivered to Web Application. Consider using a standard authentication mechanism to identify the source data store.,,Generated
29,Cross Site Scripting,Tampering,Diagram 1,Generic Data Flow,High,Not Started,,The web server 'Web Application' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
30,Persistent Cross Site Scripting,Tampering,Diagram 1,Generic Data Flow,High,Not Started,,The web server 'Web Application' could be a subject to a persistent cross-site scripting attack because it does not sanitize data store 'Blockchain' inputs and output.,,Generated
31,Weak Access Control for a Resource,Information Disclosure,Diagram 1,Generic Data Flow,High,Not Started,,Improper data protection of Blockchain can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
32,Spoofing the Web Application Process,Spoofing,Diagram 1,Generic Data Flow,High,Not Started,,Web Application may be spoofed by an attacker and this may lead to information disclosure by Blockchain. Consider using a standard authentication mechanism to identify the destination process.,,Generated
33,Potential Data Repudiation by Web Application,Repudiation,Diagram 1,Generic Data Flow,High,Not Started,,"Web Application claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
34,Potential Process Crash or Stop for Web Application,Denial Of Service,Diagram 1,Generic Data Flow,High,Not Started,,"Web Application crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
35,Data Flow Generic Data Flow Is Potentially Interrupted,Denial Of Service,Diagram 1,Generic Data Flow,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
36,Data Store Inaccessible,Denial Of Service,Diagram 1,Generic Data Flow,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
37,Web Application May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,Generic Data Flow,High,Not Started,,Blockchain may be able to remotely execute code for Web Application.,,Generated
38,Elevation by Changing the Execution Flow in Web Application,Elevation Of Privilege,Diagram 1,Generic Data Flow,High,Not Started,,An attacker may pass data into Web Application in order to change the flow of program execution within Web Application to the attacker's choosing.,,Generated
